Key,Русский,English,繁體中文
Lvl7.Text1,Мы вернулись... Этот светлячок!,We are back... That firefly!,我們回到了……是那隻螢火蟲！
Lvl7.Text2,Он ведёт нас не случайно. Он будто нарочно заманивает в эти ловушки — одно испытание за другим.,It’s not leading us by chance. It’s deliberately luring us into these traps — one trial after another.,這一定不是巧合。它在故意引著我們往這些陷阱裡鑽——過了一個還有下一個。
Lvl7.Text3,"Да… как будто у него есть цель. И всё, что происходит, — часть какого-то плана.",Yes… as if it has a purpose. And everything that’s happening is part of some larger plan.,沒錯……像是有意為之的。目前發生的一切恐怕都是局中的一環。
Lvl7.Text4,"Но об этом потом. Сейчас — книга. Он ведь вёл нас к ней, верно?","But that’s for later. Right now — the book. It led us here, didn’t it?",但這事回頭再想吧。當務之急是那本書。是那本書把我們引到這裡的，對吧？
Lvl7.Text5,"Здесь имена… даты рождения, смерти…",Names… dates of birth and death…,寫著名字……還有生卒日期……
Lvl7.Text6,Это книга учёта церковного прихода. Последняя запись — 1811 год. С тех пор — пусто.,It’s a parish register. The last entry is from 1811. Nothing since.,是本教區記事簿。最新的紀錄是1811年的，後面就沒有了。
Lvl7.Text7,"Месье, что это было?.. Вы в порядке?","Monsieur, what was that?.. Are you all right?",先生，剛剛那是什麼？……你還好嗎？
Lvl7.Text8,Вы бледны. Вам плохо?,You look pale. Are you feeling unwell?,你的臉色很蒼白。是不舒服嗎？
Lvl7.Text9,Нет… всё в порядке.,No… I’m fine.,不……我沒事。
Lvl7.Text10,Тогда что случилось?,Then what happened?,那剛剛是怎麼了？
Lvl7.Text11,Мне кажется… я вспомнил.,I think… I remembered.,我想……我記起來了。
Lvl7.Text12,Вспомнили? Что?,Remembered? What?,記起來？記起來什麼？
Lvl7.Text13,"Софи, я вспомнил свое имя!",Sophie… I remembered my name!,索菲……我記起來我的名字了！
Lvl7.Text14,,,
Lvl7.Text15,,,
Lvl7.Text16,,,
Lvl7.Text17,Мы вернулись… Этот светлячок явно ведёт нас куда-то. Будто нарочно гонит из ловушки в ловушку.,We’re back… This firefly is clearly leading us somewhere. As if it’s deliberately driving us from one trap to another.,
Lvl7.Text18,Теперь он привел нас к этой книге.,Now it’s brought us to this book.,
Lvl7.Text19,Это книга учёта церковного прихода. Последняя запись — 1811 год. С тех пор — пусто.,It’s a parish register. The last entry is from 1811. Nothing after that.,
Lvl7.Text20,Месье... что это было?.. Вы бледны.,Monsieur… what was that?.. You look pale.,
Lvl7.Text21,Всё… всё в порядке.,I'm… I'm fine.,
Lvl7.Text22,Вы уверены?,Are you sure?,
Lvl7.Text23,Кажется… я вспомнил.,I think… I remembered.,
Lvl7.Text24,Вспомнили? Что?,Remembered? What?,
Lvl7.Text25,"Софи, я вспомнил свое имя!","Sophie, I remembered my name!",
Lvl7.Text26,Меня зовут Эварист.,My name is Evariste.,
Lvl7.Text27,…Хи-хи.,…Heh-heh.,
Lvl7.Text28,Вам смешно?,Is it funny?,
Lvl7.Text29,"Простите, просто оно вам совершенно не подходит. Слишком уж старомодное.","Sorry, it’s just… it doesn’t suit you at all. Far too old-fashioned.",
Lvl7.Text30,Я буду звать вас Ристу.,I’ll call you Ristou.,
Lvl7.Text31,"Я так понимаю, права голоса у меня нет.","Looks like my opinion doesn’t matter, huh?",
Lvl7.Text32,"Абсолютно верно, Ристу. А теперь давайте поспешим. Светлячок ещё не пойман.","Absolutely right, Ristou. Now let’s hurry. The firefly still isn’t caught.",
Lvl7.Text33,,,
Lvl7.Text34,,,
Lvl7.Text35,,,
Lvl7.Text36,,,
Lvl7.Text37,,,
Lvl7.Text38,,,
Lvl7.Text39,,,
Lvl7.Text40,,,